day,name,time,duration,type
Monday,JD burn,6:30,30,
,circuits,8:00,30,
,gym induction,9:30,30,
,les mills body pump,9:30,45,
,les mills body combat,10:30,45,
,pilates,11:30,45,
,spin,12:30,30,
,JD burn,17:20,30,
,spin,18:00,45,
,les mills body pump,18:00,45,
,spin,19:00,45,
,step,19:00,45,
,zumba,20:00,45,
Tuesday,X fit,6:30,30,
,spin,6:30,45,
,jd burn,8:00,30,
,spin,9:30,45,
,lbt,9:30,45,
,step,10:30,45,
,yoga,11:30,45,
,bootcamp,12:30,30,
,jd burn,17:20,30,
,les mills body combat,18:00,45,
,spin,19:00,45,
,lbt,19:00,45,
,yoga,20:00,45,
Wednesday,jd burn,6:30,30,
,gym induction,8:00,30,
,les mills body pump,9:30,45,
,spin,9:30,45,
,piyo,10:30,45,
,circuits,12:30,30,
,bootcamp,17:20,30,
,les mills body pump,18:00,45,
,spin,18:00,45,
,les mills body combat,19:00,45,
,turn'd up,20:00,45,
Thursday,X fit,6:30,30,
,spin,6:30,45,
,jd burn,8:00,30,
,lbt,9:30,45,
,les mills body combat,10:30,45,
,bootcamp,12:30,30,
,circuits,17:20,30,
,spin,18:00,45,
,les mills body combat,18:00,45,
,spin,19:00,45,
,pilates,19:15,45,
,zumba,20:00,45,
Friday,jd burn,6:30,30,
,spin,6:30,45,
,bootcamp,8:00,30,
,les mills body pump,9:30,45,
,spin,9:30,45,
,yoga,11:30,45,
,circuits,12:30,30,
,bootcamp,17:20,30,
,X fit,18:00,30,
,spin,18:00,45,
,gym induction,19:00,30,
,step,19:00,45,
Saturday,bootcamp,8:00,30,
,spin,9:00,45,
,step,9:00,45,
,les mills body combat,10:00,45,
,spin,10:00,45,
,gym induction,17:00,30,
,X fit,18:00,30,
Sunday,spin,9:00,45,
,les mills body pump,9:00,45,
,piyo,10:00,45,
,gym induction,17:00,30,